"phoneNumber","label","name","avatar","isSubscribed","count","url"
"(201) 232-9965","Telemarketing","SKT Technologies","nan","1","nan","nan"
"(201) 245-0745","Telemarketing","COGNIZANT TECHNOLOGY SOLUTIONS AMERICAS CORPORATION","nan","1","nan","nan"
"(201) 258-0102","Telemarketing","Stratys UC LLC","nan","1","nan","nan"
"(201) 294-2121","Telemarketing","Snappy Kraken, Inc.","nan","1","nan","nan"
"(201) 300-2822","Telemarketing","WebTech House LLC","nan","1","nan","nan"
"(201) 316-7834","Telemarketing","Whisl Telecom, LLC","nan","1","nan","nan"
"(201) 319-0453","Telemarketing","DataPro Computers LLC","nan","1","nan","nan"
"(201) 350-7636","Telemarketing","Range, Inc","nan","1","nan","nan"
"(201) 355-8284","Telemarketing","King Tech Repair LLC","nan","1","nan","nan"
"(201) 375-3019","Telemarketing","Real Capture LLC","nan","1","nan","nan"
"(201) 391-4800","Telemarketing","Dial Them Up LLC","nan","1","nan","nan"
"(201) 448-8116","Telemarketing","KLOUDIP INC","nan","1","nan","nan"
"(201) 512-3900","Telemarketing","VCP Solutions Inc","nan","1","nan","nan"
"(201) 519-6392","Telemarketing","Homeaglow, Inc","nan","1","nan","nan"
"(201) 535-8880","Telemarketing","MindScope Technology LLC","nan","1","nan","nan"
"(201) 581-8620","Telemarketing","Stinger Services","nan","1","nan","nan"
"(201) 625-1133","Telemarketing","BlueEdge Technologies LLC","nan","1","nan","nan"
"(201) 669-6500","Telemarketing","Discount CLEC Services Corporation","nan","1","nan","nan"
"(201) 747-0641","Telemarketing","Apogee Consulting, LLC","nan","1","nan","nan"
"(201) 751-1003","Telemarketing","Datapro Telecom Solutions, LLC","nan","1","nan","nan"
"(201) 751-8001","Telemarketing","Controlled Network Solutions LLC.","nan","1","nan","nan"
"(201) 774-5815","Telemarketing","BSDTELECOM","nan","1","nan","nan"
"(201) 787-2526","Telemarketing","OnSiteIn90 LLC","nan","1","nan","nan"
"(201) 801-1100","Telemarketing","Ahoy Telecom, LLC","nan","1","nan","nan"
"(201) 801-8111","Telemarketing","RingSquared, LLC","nan","1","nan","nan"
"(201) 806-2602","Telemarketing","Xaccel Networks LLC","nan","1","nan","nan"
"(201) 839-5410","Telemarketing","SyncSpeak Communications LLC","nan","1","nan","nan"
"(201) 845-4555","Telemarketing","Custom Network Solutions","nan","1","nan","nan"
"(201) 877-4111","Telemarketing","thePBX.net","nan","1","nan","nan"
"(201) 898-2235","Telemarketing","Overpass LLC","nan","1","nan","nan"
"(201) 905-2266","Telemarketing","CFA Voice, LLC","nan","1","nan","nan"
"(201) 918-4497","Telemarketing","TRT COMMUNICATIONS LLC","nan","1","nan","nan"
"(201) 977-4168","Telemarketing","Web Ventures LLC","nan","1","nan","nan"
"(202) 220-2240","Telemarketing","IMImobile North America LLC","nan","1","nan","nan"
"(202) 220-2416","Telemarketing","Cisco Systems Inc","nan","1","nan","nan"
"(202) 230-4644","Telemarketing","Iridium Satellite LLC","nan","1","nan","nan"
"(202) 237-8313","Telemarketing","TELETOWN HALL, LLC","nan","1","nan","nan"
"(202) 373-6664","Telemarketing","Bestel USA, Inc.","nan","1","nan","nan"
"(202) 380-6544","Telemarketing","M & J Internet Inc.","nan","1","nan","nan"
"(202) 383-5050","Telemarketing","Inmarsat Inc.","nan","1","nan","nan"
"(202) 449-2857","Telemarketing","Content Guru Inc.","nan","1","nan","nan"
"(202) 463-3709","Telemarketing","DISH Wireless L.L.C.","nan","1","nan","nan"
"(202) 467-9821","Telemarketing","DEALSCO","nan","1","nan","nan"
"(202) 473-1000","Telemarketing","Go Voice voip","nan","1","nan","nan"
"(202) 480-2535","Telemarketing","Caucus Digital LLC","nan","1","nan","nan"
"(202) 505-1000","Telemarketing","Ziggoo Technologies LLC","nan","1","nan","nan"
"(202) 541-9000","Telemarketing","Allied Telecom Group, LLC","nan","1","nan","nan"
"(202) 571-8262","Telemarketing","VOICEZONE COMMUNICATION","nan","1","nan","nan"
"(202) 585-1155","Telemarketing","RealConnect","nan","1","nan","nan"
"(202) 604-8218","Telemarketing","Unintended-Consequences. LLC","nan","1","nan","nan"
"(202) 621-0033","Telemarketing","Illum Telecommunication Limited","nan","1","nan","nan"
"(202) 643-3453","Telemarketing","Switchboard Labs, LLC","nan","1","nan","nan"
"(202) 686-9330","Telemarketing","EveryAction, Inc.","nan","1","nan","nan"
"(202) 747-0064","Telemarketing","ioTRAN Solutions, LLC","nan","1","nan","nan"
"(202) 747-1520","Telemarketing","MDU1, LLC","nan","1","nan","nan"
"(202) 747-1522","Telemarketing","MDU Solutions, LLC","nan","1","nan","nan"
"(202) 754-8212","Telemarketing","World-Link Communications, Inc","nan","1","nan","nan"
"(202) 795-1539","Telemarketing","Blitz Telecom Services LLC","nan","1","nan","nan"
"(202) 798-3884","Telemarketing","Conexon Connect, LLC.","nan","1","nan","nan"
"(202) 818-8301","Telemarketing","Telecom Management, Inc.","nan","1","nan","nan"
"(202) 831-1026","Telemarketing","BCONTACT LLC","nan","1","nan","nan"
"(202) 902-7800","Telemarketing","readers and writers publication llc","nan","1","nan","nan"
"(202) 925-7377","Telemarketing","FonSwitch, Inc.","nan","1","nan","nan"
"(202) 936-3666","Telemarketing","ZeroPoint Platforms Inc","nan","1","nan","nan"
"(202) 968-6899","Telemarketing","Yotpo Inc","nan","1","nan","nan"
"(203) 273-6587","Telemarketing","A.Shammah Corporation","nan","1","nan","nan"
"(203) 293-9770","Telemarketing","Message Logix, Inc.","nan","1","nan","nan"
"(203) 313-2579","Telemarketing","Archtop Fiber LLC","nan","1","nan","nan"
"(203) 349-4128","Telemarketing","Alliance Global Networks LLC","nan","1","nan","nan"
"(203) 355-2400","Telemarketing","Amnet Systems","nan","1","nan","nan"
"(203) 451-1355","Telemarketing","CompassMSP, LLC dba Tarrytech","nan","1","nan","nan"
"(203) 487-6300","Telemarketing","KD Systems, Inc.","nan","1","nan","nan"
"(203) 488-7228","Telemarketing","PACT MSO","nan","1","nan","nan"
"(203) 499-9457","Telemarketing","CommuSuite","nan","1","nan","nan"
"(203) 554-0905","Telemarketing","Blue Star Services","nan","1","nan","nan"
"(203) 554-8789","Telemarketing","Mclain Communications","nan","1","nan","nan"
"(203) 583-0256","Telemarketing","Native American Telecom -- Pine Ridge, LLC","nan","1","nan","nan"
"(203) 618-1811","Telemarketing","Civicom, Inc.","nan","1","nan","nan"
"(203) 644-1778","Telemarketing","Cumulus Communications, Inc.","nan","1","nan","nan"
"(203) 672-0124","Telemarketing","Allied Communications, LLC","nan","1","nan","nan"
"(203) 842-0110","Telemarketing","Comtech21, LLC","nan","1","nan","nan"
"(203) 936-6680","Telemarketing","Absolute Logic","nan","1","nan","nan"
"(204) 486-5221","Telemarketing","HaloPrivacy","nan","1","nan","nan"
"(205) 212-1449","Telemarketing","","nan","1","nan","nan"
"(205) 216-3226","Telemarketing","Community Resposne Systems","nan","1","nan","nan"
"(205) 223-3823","Telemarketing","SP Broadband, Inc","nan","1","nan","nan"
"(205) 257-4763","Telemarketing","Southern Communications Services Inc d/b/a Southern Linc","nan","1","nan","nan"
"(205) 314-8800","Telemarketing","IS Technologeis, Inc","nan","1","nan","nan"
"(205) 383-2301","Telemarketing","SIP Oasis, Inc.","nan","1","nan","nan"
