phoneNumber,label,name,avatar,isSubscribed,count,url
(201) 232-9965,Telemarketing,SKT Technologies,,True,,
(201) 245-0745,Telemarketing,COGNIZANT TECHNOLOGY SOLUTIONS AMERICAS CORPORATION,,True,,
(201) 258-0102,Telemarketing,Stratys UC LLC,,True,,
(201) 294-2121,Telemarketing,"Snappy Kraken, Inc.",,True,,
(201) 300-2822,Telemarketing,WebTech House LLC,,True,,
(201) 316-7834,Telemarketing,"Whisl Telecom, LLC",,True,,
(201) 319-0453,Telemarketing,DataPro Computers LLC,,True,,
(201) 350-7636,Telemarketing,"Range, Inc",,True,,
(201) 355-8284,Telemarketing,King Tech Repair LLC,,True,,
(201) 375-3019,Telemarketing,Real Capture LLC,,True,,
(201) 391-4800,Telemarketing,Dial Them Up LLC,,True,,
(201) 448-8116,Telemarketing,KLOUDIP INC,,True,,
(201) 512-3900,Telemarketing,VCP Solutions Inc,,True,,
