"phone","province","city"
"861900060","新疆","克拉玛依"
"861900061","新疆","昌吉"
"861900062","新疆","哈密"
"861900063","新疆","博乐"
"861900064","新疆","和田"
"861900065","新疆","吐鲁番"
"861900066","新疆","和田"
"861900067","新疆","乌鲁木齐"
"861900068","新疆","乌鲁木齐"
"861900069","新疆","喀什"
"86190008","贵州","毕节"
"861900090","四川","资阳"
"861900091","四川","自贡"
"861900092","四川","遂宁"
"861900093","四川","遂宁"
"861900094","四川","遂宁"
"861900095","四川","宜宾"
"861900096","四川","宜宾"
"861900097","四川","南充"
"861900098","四川","南充"
"861900099","四川","雅安"
"861900100","北京","北京"
"861900101","北京","北京"
"861900102","北京","北京"
"861900103","北京","北京"
"861900104","北京","北京"
"86190014","上海","上海"
"86190019","上海","上海"
"86190020","广东","广州"
"86190021","上海","上海"
"861900220","天津","天津"
"861900221","天津","天津"
"861900222","天津","天津"
"861900223","天津","天津"
"861900224","天津","天津"
"86190023","重庆","重庆"
"861900250","江苏","南京"
"861900251","江苏","南京"
"861900252","江苏","南京"
"861900253","江苏","南京"
"861900254","江苏","南京"
"861900255","江苏","常州"
"861900256","江苏","无锡"
"861900257","江苏","无锡"
"861900258","江苏","苏州"
"861900259","江苏","苏州"
"861900260","湖南","怀化"
"861900261","湖南","娄底"
"861900262","湖南","湘潭"
"861900263","湖南","吉首"
"861900264","湖南","张家界"
"861900265","湖南","郴州"
"861900266","湖南","常德"
"861900267","湖南","益阳"
"861900268","湖南","娄底"
"861900269","湖南","邵阳"
"86190027","湖北","武汉"
"861900280","四川","成都"
"861900281","四川","眉山"
"861900282","四川","眉山"
"861900283","四川","眉山"
"861900284","四川","眉山"
"861900285","四川","南充"
"861900286","四川","南充"
"861900287","四川","南充"
"861900288","四川","成都"
"861900289","四川","绵阳"
"86190029","陕西","西安"
"861900300","吉林","长春"
"861900301","吉林","长春"
"861900302","吉林","吉林"
"861900303","吉林","延边"
"861900304","吉林","四平"
"861900305","吉林","通化"
"861900306","吉林","白城"
"861900307","吉林","辽源"
"861900308","吉林","松原"
"861900309","吉林","白山"
"861900310","河北","邯郸"
"861900311","河北","石家庄"
"861900312","河北","保定"
"861900313","河北","张家口"
"861900314","河北","承德"
"861900315","河北","唐山"
"861900316","河北","廊坊"
"861900317","河北","沧州"
"861900318","河北","衡水"
"861900319","河北","邢台"
"861900320","河北","保定"
"861900321","河北","石家庄"
"861900322","河北","保定"
"861900323","河北","张家口"
"861900324","河北","石家庄"
"861900325","河北","唐山"
"861900326","河北","廊坊"
"861900327","河北","沧州"
"861900328","河北","衡水"
"861900329","河北","邢台"
"861900330","河北","邯郸"
"861900331","河北","石家庄"
"861900332","河北","保定"
"861900333","河北","秦皇岛"
"861900334","河北","石家庄"
"861900335","河北","秦皇岛"
"861900336","河北","廊坊"
"861900337","河北","沧州"
"861900338","河北","衡水"
"861900339","河北","邢台"
"861900340","山西","太原"
"861900341","山西","太原"
"861900342","山西","大同"
"861900343","山西","太原"
"861900344","山西","晋中"
"861900345","山西","长治"
"861900346","山西","太原"
"861900347","山西","临汾"
"861900348","山西","运城"
"861900349","山西","朔州"
"861900350","山西","忻州"
"861900351","山西","太原"
"861900352","山西","大同"
"861900353","山西","阳泉"
"861900354","山西","晋中"
"861900355","山西","长治"
"861900356","山西","晋城"
"861900357","山西","临汾"
"861900358","山西","吕梁"
"861900359","山西","运城"
"861900360","黑龙江","哈尔滨"
"861900361","黑龙江","哈尔滨"
"861900362","黑龙江","齐齐哈尔"
"861900363","黑龙江","双鸭山"
"861900364","黑龙江","七台河"
"861900365","黑龙江","大庆"
"861900366","黑龙江","哈尔滨"
"861900367","黑龙江","鸡西"
"861900368","黑龙江","鹤岗"
"861900369","黑龙江","双鸭山"
"861900370","河南","商丘"
"861900371","河南","郑州"
"861900372","河南","安阳"
"861900373","河南","新乡"
"861900374","河南","许昌"
"861900375","河南","平顶山"
"861900376","河南","信阳"
"861900377","河南","南阳"
"861900378","河南","开封"
"861900379","河南","洛阳"
"861900380","河南","驻马店"
"861900381","河南","驻马店"
"861900382","河南","驻马店"
"861900383","河南","郑州"
"861900384","河南","郑州"
"861900385","河南","漯河"
"861900386","河南","郑州"
"861900387","河南","周口"
"861900388","河南","郑州"
"861900389","河南","洛阳"
"861900390","河南","焦作"
"861900391","河南","焦作"
"861900392","河南","鹤壁"
"861900393","河南","濮阳"
"861900394","河南","周口"
"861900395","河南","漯河"
"861900396","河南","驻马店"
"861900397","河南","信阳"
"861900398","河南","三门峡"
"861900399","河南","许昌"
"861900410","辽宁","铁岭"
"861900411","辽宁","大连"
"861900412","辽宁","鞍山"
"861900413","辽宁","抚顺"
"861900414","辽宁","本溪"
"861900415","辽宁","丹东"
"861900416","辽宁","锦州"
"861900417","辽宁","营口"
"861900418","辽宁","阜新"
"861900419","辽宁","辽阳"
"861900430","吉林","长春"
"861900431","吉林","长春"
"861900432","吉林","吉林"
"861900433","吉林","延边"
"861900434","吉林","四平"
"861900435","吉林","通化"
"861900436","吉林","白城"
"861900437","吉林","辽源"
"861900438","吉林","松原"
"861900439","吉林","白山"
"861900450","黑龙江","哈尔滨"
"861900451","黑龙江","哈尔滨"
"861900452","黑龙江","齐齐哈尔"
"861900453","黑龙江","牡丹江"
"861900454","黑龙江","佳木斯"
"861900455","黑龙江","绥化"
"861900456","黑龙江","黑河"
"861900457","黑龙江","大兴安岭"
"861900458","黑龙江","伊春"
"861900459","黑龙江","大庆"
"861900460","黑龙江","哈尔滨"
"861900461","黑龙江","哈尔滨"
"861900462","黑龙江","齐齐哈尔"
"861900463","黑龙江","双鸭山"
"861900464","黑龙江","七台河"
"861900465","黑龙江","绥化"
"861900466","黑龙江","齐齐哈尔"
"861900467","黑龙江","鸡西"
"861900468","黑龙江","鹤岗"
"861900469","黑龙江","双鸭山"
"861900470","内蒙古","呼伦贝尔"
"861900471","内蒙古","呼和浩特"
"861900472","内蒙古","包头"
"861900473","内蒙古","乌海"
"861900474","内蒙古","乌兰察布"
"861900475","内蒙古","通辽"
"861900476","内蒙古","赤峰"
"861900477","内蒙古","鄂尔多斯"
"861900478","内蒙古","巴彦淖尔"
"861900479","内蒙古","锡林郭勒"
