phoneNumber,label,name,avatar,isSubscribed,count,url
5622573590,Telemarketing,Piratel llc,,True,,
320-573-1390,Telemarketing,UPSALA COOPERATIVE TELEPHONE ASSOCIATION,,True,,
8003824913,Telemarketing,"Ytel, Inc.",,True,,
832-506-0905,Telemarketing,R SQUARED TELECOM LLC,,True,,
737-249-0449,Telemarketing,"Bluetone Communications, LLC",,True,,
7252224881,Telemarketing,Access Tandem Inc.,,True,,
5167080111,Telemarketing,"Barr Tell Usa, Inc.",,True,,
3078889181,Telemarketing,VoiceTerm Inc.,,True,,
3125060933,Telemarketing,"Peerless Network, Inc",,True,,
(888) 380-2721,Telemarketing,"Airus, Inc.",,True,,
201-316-7834,Telemarketing,"Whisl Telecom, LLC",,True,,
940-372-9240,Telemarketing,LP Telecom,,True,,
8325060905,Telemarketing,200 Networks LLC,,True,,
9405645659,Telemarketing,"Brazos Telephone Cooperative, Inc.",,True,,
903-757-4455,Telemarketing,Network Communications International Corp. a/k/a NCIC Inmate Communications,,True,,
4043341122,Telemarketing,"Brightlink Communications, LLc",,True,,
9522533252,Telemarketing,US Internet Corp,,True,,
9522216267,Telemarketing,"Fonative, LLC",,True,,
6204293132,Telemarketing,Columbus Communications Services,,True,,
8088411000,Telemarketing,Aloha Tone,,True,,
8886868581,Telemarketing,MULTITEL LLC,,True,,
5304676000,Telemarketing,The Siskiyou Telephone Co.,,True,,
3477261869,Telemarketing,NT telecom,,True,,
507-318-0143,Telemarketing,LTD Broadband LLC,,True,,
7012648100,Telemarketing,"Computer Telephony Innovations, Inc.",,True,,
804-264-4205,Telemarketing,"Infotel Systems, Inc.",,True,,
9203833100,Telemarketing,Clearly IP Inc.,,True,,
347-266-0000,Telemarketing,3 Billionaires Corporation,,True,,
864 477 9651,Telemarketing,Vonage Business Inc.,,True,,
8006879725,Telemarketing,"Valley Telephone Cooperative, Inc.",,True,,
8006879725,Telemarketing,"VTX Communications, LLC",,True,,
3363745021,Telemarketing,Surry Telephone Membership Corporation,,True,,
9088067096,Telemarketing,YMax Communications Corp.,,True,,
8559060901,Telemarketing,"Bulk Solutions, LLC",,True,,
5022154111,Telemarketing,White Cloud Communications US LLC DBA: Broadlinc,,True,,
716-673-3091,Telemarketing,Cassadaga Telephone Corporation,,True,,
716-673-3091,Telemarketing,Dunkirk and Fredonia Telephone Company,,True,,
716-673-3091,Telemarketing,DFT Local Service Corporation,,True,,
606-785-2226,Telemarketing,"Thacker-Grigsby Telephone Co., Inc.",,True,,
214-382-9990,Telemarketing,"One Ring Networks, Inc.",,True,,
9137572500,Telemarketing,"Peoples Telecommunications, LLC",,True,,
4137462760,Telemarketing,Crocker Communications,,True,,
3013581690,Telemarketing,Vector Data Systems LLC,,True,,
215-286-3039,Telemarketing,"Masergy Cloud Communications, Inc.",,True,,
