phoneNumber,label,name,avatar,isSubscribed,count,url
+902127053327,Spam Likely,,,1,,
+902127065148,Spam Likely,,,1,,
+902129223279,Spam Likely,,,1,,
+902129452278,Spam Likely,,,1,,
+902129452899,Spam Likely,,,1,,
+902162662736,Spam Likely,,,1,,
+902169902138,Spam Likely,,,1,,
+902169902732,Spam Likely,,,1,,
+903124040738,Spam Likely,,,1,,
+903124040783,Spam Likely,,,1,,
+903128900667,Spam Likely,,,1,,
+905344511000,Spam Likely,,,1,,
+905535386701,Spam Likely,,,1,,
+908503099751,Spam Likely,,,1,,
+908504301875,Spam Likely,,,1,,
+908504304139,Spam Likely,,,1,,
+908504304493,Spam Likely,,,1,,
+908504304572,Spam Likely,,,1,,
+908504304580,Spam Likely,,,1,,
+908504304680,Spam Likely,,,1,,
+908504304843,Spam Likely,,,1,,
+908504430216,Spam Likely,,,1,,
+908504431286,Spam Likely,,,1,,
+908504432902,Spam Likely,,,1,,
+908504801591,Spam Likely,,,1,,
+908504801593,Spam Likely,,,1,,
+908504840405,Spam Likely,,,1,,
+908504840457,Spam Likely,,,1,,
+908504840389,Spam Likely,,,1,,
+908504840461,Spam Likely,,,1,,
+908504840849,Spam Likely,,,1,,
+908504840883,Spam Likely,,,1,,
+908504841186,Spam Likely,,,1,,
+908504841464,Spam Likely,,,1,,
+908504841480,Spam Likely,,,1,,
+908504841520,Spam Likely,,,1,,
+908504841633,Spam Likely,,,1,,
+908504841652,Spam Likely,,,1,,
+908504841667,Spam Likely,,,1,,
+908504841671,Spam Likely,,,1,,
+908504841674,Spam Likely,,,1,,
+908504841684,Spam Likely,,,1,,
+908504841760,Spam Likely,,,1,,
+908504841765,Spam Likely,,,1,,
+908504841785,Spam Likely,,,1,,
+908504841791,Spam Likely,,,1,,
+908504841827,Spam Likely,,,1,,
+908504841882,Spam Likely,,,1,,
+908504841947,Spam Likely,,,1,,
+908504841967,Spam Likely,,,1,,
+908504842086,Spam Likely,,,1,,
+908504842155,Spam Likely,,,1,,
+908504842174,Spam Likely,,,1,,
+908504842230,Spam Likely,,,1,,
+908504842231,Spam Likely,,,1,,
+908504842276,Spam Likely,,,1,,
+908504842310,Spam Likely,,,1,,
+908504842426,Spam Likely,,,1,,
+908504842430,Spam Likely,,,1,,
+908504842442,Spam Likely,,,1,,
+908504842476,Spam Likely,,,1,,
+908504842548,Spam Likely,,,1,,
+908504842558,Spam Likely,,,1,,
+908504842756,Spam Likely,,,1,,
+908504842772,Spam Likely,,,1,,
+908504842787,Spam Likely,,,1,,
+908504842814,Spam Likely,,,1,,
+908504842840,Spam Likely,,,1,,
+908504842987,Spam Likely,,,1,,
+908504843011,Spam Likely,,,1,,
+908504843512,Spam Likely,,,1,,
+908504843621,Spam Likely,,,1,,
+908505120007,Spam Likely,,,1,,
+908505120008,Spam Likely,,,1,,
+908505120014,Spam Likely,,,1,,
+908505120027,Spam Likely,,,1,,
+908505120442,Spam Likely,,,1,,
+908505120676,Spam Likely,,,1,,
+908505600625,Spam Likely,,,1,,
+908505602051,Spam Likely,,,1,,
+908505602440,Spam Likely,,,1,,
+908505602467,Spam Likely,,,1,,
+908505602715,Spam Likely,,,1,,
+908505602719,Spam Likely,,,1,,
+908505602816,Spam Likely,,,1,,
+908509010328,Spam Likely,,,1,,
+908509010352,Spam Likely,,,1,,
+908509010417,Spam Likely,,,1,,
+908509010598,Spam Likely,,,1,,
+908509010646,Spam Likely,,,1,,
+908503010371,Spam Likely,,,1,,
+908509010672,Spam Likely,,,1,,
+908509010676,Spam Likely,,,1,,
+908509010677,Spam Likely,,,1,,
+908509010678,Spam Likely,,,1,,
+908509010688,Spam Likely,,,1,,
+908509010744,Spam Likely,,,1,,
+908509010747,Spam Likely,,,1,,
+908509010790,Spam Likely,,,1,,
+908509010795,Spam Likely,,,1,,
+908509010799,Spam Likely,,,1,,
+908509010806,Spam Likely,,,1,,
+908503010823,Spam Likely,,,1,,
+908509010824,Spam Likely,,,1,,
+908509010866,Spam Likely,,,1,,
+908509010870,Spam Likely,,,1,,
+908509010889,Spam Likely,,,1,,
+908509010941,Spam Likely,,,1,,
+908509010961,Spam Likely,,,1,,
+908509449501,Spam Likely,,,1,,
