phoneNumber,label,name,avatar,isSubscribed,count,url
PLACEHOLDER_230876821,Fraud Scam Likely,,,0,0,
PLACEHOLDER_356153613,Spam Likely,,,0,0,
PLACEHOLDER_1011744953,Telemarketing,,,0,0,
PLACEHOLDER_793458724,Robocall,,,0,0,
PLACEHOLDER_843169642,Delivery,,,0,0,
PLACEHOLDER_180350135,Takeaway,,,0,0,
PLACEHOLDER_200648361,Ridesharing,,,0,0,
PLACEHOLDER_708426902,Insurance,,,0,0,
PLACEHOLDER_141771649,Loan,,,0,0,
PLACEHOLDER_543608806,Customer Service,,,0,0,
PLACEHOLDER_957476573,Unknown,,,0,0,
PLACEHOLDER_784715545,Financial,,,0,0,
PLACEHOLDER_548370808,Bank,,,0,0,
PLACEHOLDER_101947622,Education,,,0,0,
PLACEHOLDER_274049943,Medical,,,0,0,
PLACEHOLDER_35600625,Charity,,,0,0,
PLACEHOLDER_914338153,Other,,,0,0,
PLACEHOLDER_9908508,Collection,,,0,0,
PLACEHOLDER_912447930,Survey,,,0,0,
PLACEHOLDER_277634848,Political,,,0,0,
PLACEHOLDER_31460603,Ecommerce,,,0,0,
PLACEHOLDER_80551506,Risk,,,0,0,
