"phoneNumber","label","name","avatar","isSubscribed","count","url"
"4000605576","应用软件","Teambition","https://raw.githubusercontent.com/metowolf/vCards/refs/heads/master/data/应用软件/Teambition.png","1","0",""
"4006775005","应用软件","WPS","https://raw.githubusercontent.com/metowolf/vCards/refs/heads/master/data/应用软件/WPS.png","1","0",""
"089865337739","应用软件","ToDesk","https://raw.githubusercontent.com/metowolf/vCards/refs/heads/master/data/应用软件/todesk.png","1","0",""
"+1(412)5676602","应用软件","多邻国","https://raw.githubusercontent.com/metowolf/vCards/refs/heads/master/data/应用软件/多邻国.png","1","0",""
"01062620698","应用软件","孔网","https://raw.githubusercontent.com/metowolf/vCards/refs/heads/master/data/应用软件/孔网.png","1","0",""
"12361","应用软件","学习强国","https://raw.githubusercontent.com/metowolf/vCards/refs/heads/master/data/应用软件/学习强国.png","1","0",""
"01059344888","应用软件","小猿搜题","https://raw.githubusercontent.com/metowolf/vCards/refs/heads/master/data/应用软件/小猿搜题.png","1","0",""
"4000960960","应用软件","微博","https://raw.githubusercontent.com/metowolf/vCards/refs/heads/master/data/应用软件/微博.png","1","0",""
"01053153053","应用软件","明道云","https://raw.githubusercontent.com/metowolf/vCards/refs/heads/master/data/应用软件/明道云.png","1","0",""
"01053934972","应用软件","极客时间","https://raw.githubusercontent.com/metowolf/vCards/refs/heads/master/data/应用软件/极客时间.png","1","0",""
"01061190680","应用软件","知乎","https://raw.githubusercontent.com/metowolf/vCards/refs/heads/master/data/应用软件/知乎.png","1","0",""
"4000682666","应用软件","飞书","https://raw.githubusercontent.com/metowolf/vCards/refs/heads/master/data/应用软件/飞书.png","1","0",""
"4008100080","应用软件","高德地图","https://raw.githubusercontent.com/metowolf/vCards/refs/heads/master/data/应用软件/高德地图.png","1","0",""
