name,priority,action,phoneNumber,labelId,isEnabled,isSubscribed,count,avatar,url
Piratel llc,3,block,(562) 257-3590,telemarketing,1,1,,,
UPSALA COOPERATIVE TELEPHONE ASSOCIATION,3,block,(320) 573-1390,telemarketing,1,1,,,
Ytel Inc,3,block,(800) 382-4913,telemarketing,1,1,,,
R SQUARED TELECOM LLC,3,block,(832) 506-0905,telemarketing,1,1,,,
Bluetone Communications LLC,3,block,(737) 249-0449,telemarketing,1,1,,,
Access Tandem Inc,3,block,(725) 222-4881,telemarketing,1,1,,,
Barr Tell Usa Inc,3,block,(516) 708-0111,telemarketing,1,1,,,
VoiceTerm Inc,3,block,(307) 888-9181,telemarketing,1,1,,,
Peerless Network Inc,3,block,(312) 506-0933,telemarketing,1,1,,,
Airus Inc,3,block,(312) 506-0933,telemarketing,1,1,,,
Whisl Telecom LLC,3,block,(201) 316-7834,telemarketing,1,1,,,
LP Telecom,3,block,(214) 620-1515,telemarketing,1,1,,,
200 Networks LLC,3,block,(832) 506-0905,telemarketing,1,1,,,
Brazos Telephone Cooperative Inc,3,block,(940) 564-5659,telemarketing,1,1,,,
Network Communications International Corp aka NCIC Inmate Communications,3,block,(903) 757-4455,telemarketing,1,1,,,
US Internet Corp,3,block,(952) 253-3252,telemarketing,1,1,,,
Fonative LLC,3,block,(765) 751-7236,telemarketing,1,1,,,
Columbus Communications Services,3,block,(620) 429-3132,telemarketing,1,1,,,
Aloha Tone,3,block,(808) 841-1000,telemarketing,1,1,,,
MULTITEL LLC,3,block,(888) 686-8581,telemarketing,1,1,,,
The Siskiyou Telephone Co,3,block,(530) 467-6000,telemarketing,1,1,,,
NT telecom,3,block,(347) 726-1869,telemarketing,1,1,,,
LTD Broadband LLC,3,block,(507) 318-0143,telemarketing,1,1,,,
Computer Telephony Innovations Inc,3,block,(701) 264-8100,telemarketing,1,1,,,
Infotel Systems Inc,3,block,(804) 264-4205,telemarketing,1,1,,,
Clearly IP Inc,3,block,(920) 383-3100,telemarketing,1,1,,,
3 Billionaires Corporation,3,block,(347) 266-0000,telemarketing,1,1,,,
